更新时间,#genre#
2025-01-29 12:46:04,url
📺央视频道,#genre#
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|cache:http://61.136.172.236:9901
CCTV-1,http://202.168.187.221:9999http://i2.ekesh.cn:4001/rtp/239.12.22.3:10001$广东酒店源|cache:http://202.168.187.221:9999
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源|cache:http://116.128.242.83:9901
CCTV-1,http://59.173.243.210:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://59.173.243.210:9901
CCTV-1,http://114.246.181.146:4022/rtp/239.3.1.129:8008$组播源-cache:http://114.246.181.146:4022
CCTV-1,http://e1.woc.iiiya.cn:8888/rtp/239.61.3.60:9878$组播源-cache:http://e1.woc.iiiya.cn:8888
CCTV-1,http://60.189.43.82:9999/rtp/233.50.201.118:5140$组播源-cache:http://60.189.43.82:9999
CCTV-1,http://e1.woc.iiiya.cn:8888/rtp/239.61.3.61:9884$组播源-cache:http://e1.woc.iiiya.cn:8888
CCTV-1,http://221.221.153.193:8888/rtp/239.3.1.129:8008$组播源-cache:http://221.221.153.193:8888
CCTV-1,http://1.82.144.44:4022/rtp/239.112.205.59:5140$组播源-cache:http://1.82.144.44:4022
CCTV-2,http://220.249.114.102:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://220.249.114.102:9901
CCTV-2,http://49.234.31.101:7004udp://@224.9.2.23:5000$北京酒店源|cache:http://49.234.31.101:7004
CCTV-2,http://58.19.133.144:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000357$湖北酒店源|cache:http://58.19.133.144:9901
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源|cache:http://116.128.242.83:9901
CCTV-2,http://114.246.181.146:4022/rtp/239.3.1.60:8084$组播源-cache:http://114.246.181.146:4022
CCTV-2,http://720520.xyz:13579/rtp/225.1.4.74:1103?Cf=cfss.cc$组播源-cache:http://720520.xyz:13579
CCTV-2,http://221.221.153.193:8888/rtp/239.3.1.60:8084$组播源-cache:http://221.221.153.193:8888
CCTV-2,http://1.82.144.44:4022/rtp/239.112.205.78:5140$组播源-cache:http://1.82.144.44:4022
CCTV-2,http://123.113.187.204:8000/rtp/239.3.1.60:8084$组播源-cache:http://123.113.187.204:8000
CCTV-2,http://60.7.56.33:4000/rtp/239.253.92.190:6065$组播源-cache:http://60.7.56.33:4000
CCTV-3,http://220.249.114.102:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|cache:http://220.249.114.102:9901
CCTV-3,http://58.19.133.144:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000211$湖北酒店源|cache:http://58.19.133.144:9901
CCTV-3,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|cache:http://61.136.172.236:9901
CCTV-3,http://59.173.243.210:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://59.173.243.210:9901
CCTV-3,http://114.246.181.146:4022/rtp/239.3.1.172:8001$组播源-cache:http://114.246.181.146:4022
CCTV-3,http://bl.dchwtq.asia:10000/rtp/239.69.1.122:10370$组播源-cache:http://bl.dchwtq.asia:10000
CCTV-3,http://221.221.153.193:8888/rtp/239.3.1.172:8001$组播源-cache:http://221.221.153.193:8888
CCTV-3,http://1.82.144.44:4022/rtp/239.112.205.221:5140$组播源-cache:http://1.82.144.44:4022
CCTV-3,http://60.7.56.33:4000/rtp/239.253.92.191:6057$组播源-cache:http://60.7.56.33:4000
CCTV-3,http://60.189.43.82:9999/rtp/233.50.201.196:5140$组播源-cache:http://60.189.43.82:9999
CCTV-4,http://220.249.114.102:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|cache:http://220.249.114.102:9901
CCTV-4,http://59.173.243.210:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://59.173.243.210:9901
CCTV-4,http://202.168.187.221:9999http://i2.ekesh.cn:4001/rtp/239.12.21.20:10001$广东酒店源|cache:http://202.168.187.221:9999
CCTV-4,http://58.19.133.144:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000409$湖北酒店源|cache:http://58.19.133.144:9901
CCTV-4,http://114.246.181.146:4022/rtp/239.3.1.105:8092$组播源-cache:http://114.246.181.146:4022
CCTV-4,http://60.2.190.206:4000/rtp/239.253.93.193:6371$组播源-cache:http://60.2.190.206:4000
CCTV-4,http://60.2.190.206:4000/rtp/239.253.92.251:6141$组播源-cache:http://60.2.190.206:4000
CCTV-4,http://1.82.144.44:4022/rtp/239.112.205.202:5140$组播源-cache:http://1.82.144.44:4022
CCTV-4,http://221.221.153.193:8888/rtp/239.3.1.105:8092$组播源-cache:http://221.221.153.193:8888
CCTV-4,http://123.113.187.204:8000/rtp/239.3.1.214:4220$组播源-cache:http://123.113.187.204:8000
