更新时间,#genre#
2024-12-11 16:32:11,url
📺央视频道,#genre#
CCTV-1,http://113.218.204.28:8081/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源-cache:http://113.218.204.28:8081
CCTV-1,http://221.233.192.152:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://221.233.192.152:1111
CCTV-1,http://58.48.37.158:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://58.48.37.158:1111
CCTV-1,http://59.173.183.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://59.173.183.242:9901
CCTV-1,http://123.117.237.15:8680/rtp/239.3.1.129:8008$组播源-cache:http://123.117.237.15:8680
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源-cache:http://60.164.128.167:8029
CCTV-1,http://115.171.216.209:4000/rtp/225.1.8.1:8008$组播源-cache:http://115.171.216.209:4000
CCTV-1,http://115.60.241.249:2000/rtp/225.1.4.73:1102$组播源-cache:http://115.60.241.249:2000
CCTV-1,http://221.219.79.161:4000/rtp/239.3.1.129:8008$组播源-cache:http://221.219.79.161:4000
CCTV-1,http://123.113.187.204:8000/rtp/239.3.1.129:8008$组播源-cache:http://123.113.187.204:8000
CCTV-2,http://113.218.204.28:8081/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源-cache:http://113.218.204.28:8081
CCTV-2,http://220.249.114.102:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://220.249.114.102:9901
CCTV-2,http://221.233.192.152:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://221.233.192.152:1111
CCTV-2,http://49.234.31.101:7004udp://@224.9.2.23:5000$北京酒店源|cache:http://49.234.31.101:7004
CCTV-2,http://123.117.237.15:8680/rtp/239.3.1.60:8084$组播源-cache:http://123.117.237.15:8680
CCTV-2,http://60.164.128.167:8029/rtp/239.255.30.179:8231$组播源-cache:http://60.164.128.167:8029
CCTV-2,http://115.171.216.209:4000/rtp/225.1.8.2:8084$组播源-cache:http://115.171.216.209:4000
CCTV-2,http://115.60.241.249:2000/rtp/225.1.4.74:1103$组播源-cache:http://115.60.241.249:2000
CCTV-2,http://221.219.79.161:4000/rtp/239.3.1.60:8084$组播源-cache:http://221.219.79.161:4000
CCTV-2,http://123.113.187.204:8000/rtp/239.3.1.60:8084$组播源-cache:http://123.113.187.204:8000
CCTV-3,http://113.218.204.28:8081/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源-cache:http://113.218.204.28:8081
CCTV-3,http://220.249.114.102:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|cache:http://220.249.114.102:9901
CCTV-3,http://221.233.192.152:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://221.233.192.152:1111
CCTV-3,http://183.94.146.109:2222/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|cache:http://183.94.146.109:2222
CCTV-3,http://123.117.237.15:8680/rtp/239.3.1.172:8001$组播源-cache:http://123.117.237.15:8680
CCTV-3,http://60.164.128.167:8029/rtp/239.255.29.12:8231$组播源-cache:http://60.164.128.167:8029
CCTV-3,http://221.219.79.161:4000/rtp/239.3.1.172:8001$组播源-cache:http://221.219.79.161:4000
CCTV-3,http://123.113.187.204:8000/rtp/239.3.1.172:8001$组播源-cache:http://123.113.187.204:8000
CCTV-3,http://222.129.139.229:8888/rtp/239.3.1.172:8001$组播源-cache:http://222.129.139.229:8888
CCTV-3,http://114.254.83.83:2222/rtp/239.3.1.172:8001$组播源-cache:http://114.254.83.83:2222
CCTV-4,http://113.218.204.28:8081/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源-cache:http://113.218.204.28:8081
CCTV-4,http://220.249.114.102:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|cache:http://220.249.114.102:9901
CCTV-4,http://221.233.192.152:1111/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://221.233.192.152:1111
CCTV-4,http://183.94.146.109:2222/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://183.94.146.109:2222
CCTV-4,http://60.164.128.167:8029/rtp/239.255.30.83:8231$组播源-cache:http://60.164.128.167:8029
CCTV-4,http://115.60.241.249:2000/rtp/225.1.5.30:1333$组播源-cache:http://115.60.241.249:2000
CCTV-4,http://221.219.79.161:4000/rtp/239.3.1.213:4220$组播源-cache:http://221.219.79.161:4000
CCTV-4,http://222.129.139.229:8888/rtp/239.3.1.105:8092$组播源-cache:http://222.129.139.229:8888
CCTV-4,http://222.129.139.229:8888/rtp/239.3.1.214:4220$组播源-cache:http://222.129.139.229:8888
CCTV-4,http://222.129.139.229:8888/rtp/239.3.1.213:4220$组播源-cache:http://222.129.139.229:8888
CCTV-5,http://113.218.204.28:8081/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源-cache:http://113.218.204.28:8081
CCTV-5,http://220.249.114.102:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://220.249.114.102:9901
CCTV-5,http://221.233.192.152:1111/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://221.233.192.152:1111
CCTV-5,http://61.136.172.236:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://61.136.172.236:9901
CCTV-5,http://123.117.237.15:8680/rtp/239.3.1.173:8001$组播源-cache:http://123.117.237.15:8680
CCTV-5,http://60.164.128.167:8029/rtp/239.255.29.13:8231$组播源-cache:http://60.164.128.167:8029
CCTV-5,http://115.171.216.209:4000/rtp/225.1.8.89:8000$组播源-cache:http://115.171.216.209:4000
CCTV-5,http://xeace.cn:8888/rtp/239.93.42.37:5140$组播源-cache:http://xeace.cn:8888
CCTV-5,http://115.60.241.249:2000/rtp/225.1.4.159:1195$组播源-cache:http://115.60.241.249:2000
CCTV-5,http://221.219.79.161:4000/rtp/239.3.1.173:8001$组播源-cache:http://221.219.79.161:4000
CCTV-5+,http://220.249.114.102:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|cache:http://220.249.114.102:9901
CCTV-5+,http://221.233.192.152:1111/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://221.233.192.152:1111
CCTV-5+,http://49.234.31.101:7004udp://@224.9.2.27:5000$北京酒店源|cache:http://49.234.31.101:7004
CCTV-5+,http://59.173.243.210:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://59.173.243.210:9901
CCTV-5+,http://123.117.237.15:8680/rtp/239.3.1.130:8004$组播源-cache:http://123.117.237.15:8680
CCTV-5+,http://60.164.128.167:8029/rtp/239.255.30.184:8231$组播源-cache:http://60.164.128.167:8029
CCTV-5+,http://115.171.216.209:4000/rtp/225.1.8.20:8004$组播源-cache:http://115.171.216.209:4000
CCTV-5+,http://221.219.79.161:4000/rtp/239.3.1.130:8004$组播源-cache:http://221.219.79.161:4000
CCTV-5+,http://123.113.187.204:8000/rtp/239.3.1.130:8004$组播源-cache:http://123.113.187.204:8000
CCTV-5+,http://222.129.139.229:8888/rtp/239.3.1.130:8004$组播源-cache:http://222.129.139.229:8888
CCTV-6,http://113.218.204.28:8081/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源-cache:http://113.218.204.28:8081
CCTV-6,http://220.249.114.102:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://220.249.114.102:9901
CCTV-6,http://221.233.192.152:1111/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://221.233.192.152:1111
CCTV-6,http://58.48.37.158:1111/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://58.48.37.158:1111
CCTV-6,http://123.117.237.15:8680/rtp/239.3.1.174:8001$组播源-cache:http://123.117.237.15:8680
CCTV-6,http://60.164.128.167:8029/rtp/239.255.29.14:8231$组播源-cache:http://60.164.128.167:8029
CCTV-6,http://221.219.79.161:4000/rtp/239.3.1.174:8001$组播源-cache:http://221.219.79.161:4000
CCTV-6,http://123.113.187.204:8000/rtp/239.3.1.174:8001$组播源-cache:http://123.113.187.204:8000
CCTV-6,http://222.129.139.229:8888/rtp/239.3.1.174:8001$组播源-cache:http://222.129.139.229:8888
